 cafe , case 
excufe,excuse
excurfion,excursion
expofe,expose
expofed,exposed
expofes,exposes
expreffes,expresses
expreffion,expression
exprefs,express
extream,extreme
extreamly,extremely
eye-witnefs,eyewitness
eyewitnefs,eyewitness
facrifice,sacrifice
facrifices,sacrifices
facrificing,sacrificing
fafcine,fascine
fafcines,fascines
fafely,safely
faft,fast
falfity,falsity
falute,salute
fatisfaction,satisfaction
fatisfied,satissied
fatisfy,satisfy
Faved,saved
Faw,saw
feafon,season
feafonable,seasonable
feafonably,seasonably
fecond,second
fecur'd,secured
fecure,secure
fecured,secured
Feeing,seeing
Feen,Seen
feftival,festival
felf-same,self-same
felf,self
felfsame,self-same
felves,selves
feparate,separate
feparated,separated
feparating,separating
ferious,serious
feriously,seriously
feven,seven
feveral,several
fhall,shall
fhe,she
fhire,shire
fhould,should
 fide , side 
 fides , sides 
 Fide , side 
 Fides , sides 
fince,since
finifh,finish
firft,first
firmnefs,firmness
fituation,situation
fituations,situations
flip,slip
fmall,small
foever,soever
foffee,fossee
follicit,sollicit
fondnefs,fondness
foreft,forest
forfook,forsook
fortrefs,fortress
fortrefses,fortresses
forwardnefs,forwardness
fpace,space
fpaces,spaces
fpare,spare
fpared,spared
fpares,spares
fpeak,speak
fpeaker,speaker
fpeaking,speaking
fpeaks,speaks
fpecial,special
fpecific,specific
fpecified,specified
fped,sped
fpeed,speed
fpeediest,speediest
fpeedily,speedily
fpeeds,speeds
fpeedy,speedy
fpending,spending
fpends,spends
fpent,spent
fpill,spill
fpilled,spilled
fpills,spills
fpirit,spirit
fpirited,spirited
fpiritual,spiritual
fpite,spite
fpited,spited
fplendid,splendid
fplendidly,splendidly
fplit,split
fplits,splits
fplitting,splitting
fpoil,spoil
fpoiled,spoiled
fpoiling,spoiling
fpoke,spoke
fpoken,spoken
fpot,spot
fpotted,spotted
fpread,spread
fpreading,spreading
fpreads,spreads
fpring,spring
fpringing,springing
fprings,springs
fprint-tide,spring-tide
fprung,sprung
Friefland,friesland
froft,frost
fruftrate,frustrate
ftill,still
ftop,stop
ftrange,strange
ftrong,strong
ftronger,stronger
ftrongest,strongest
fubftantial,substantial
fucceed,succeed
fucceffes,successes
fuccefs,success
fuccour,succour
fuch,such
fudden,sudden
fuddenly,suddenly
fufficient,sufficient
fufficiently,sufficiently
fufileer,fusilier
fufilier,fusilier
fufpend,suspend
fufpended,suspended
fufpending,suspending
fufpends,suspends
fuftain,sustain
fuitable,suitable
fupport,support
fupported,supported
fupports,supports
fuppreffed,suppressed
fuppreffing,suppressing
fupprefs,suppress
fuppress,suppress
furprisal,surprisal
furprise,surprise
furpriz'd,surprised
furprizal,surprisal
furprize,surprise
furprized,surprised
furprizing,surprising
furrender,surrender
furrendered,surrendered
furrendering,surrendering
furrenders,surrenders
fwift,swift
gafconade,gasconade
gafp,gasp
gafped,gasped
gafping,gasping
garifon,garrison
garrifon,garrison
genuinenefs,genuineness
Gloucefter,gloucester
Goddefs,goddess
goodnefs,goodness
governefs,governess
grafp,grasp
grafped,grasped
grafping,grasping
grafps,grasps
grandfon,grandson
greatnefs,greatness
haften,hasten
haftened,hastened
handfome,handsome
happinefs,happiness
haughtinefs,haughtiness
heavinefs,heaviness
Heffe,hesse
Heffian,hessian
Heffians,hessians
Heufden,heusden
hiftorical,historical
hiftory,history
higheft,highest
Highneff,highness
highneffes,highnesses
highnefs,highness
highnefses,highnesses
himfelf,himself
Hochftat,Hochstadt
hofpital,hospital
hoftages,hostages
Holftein,Holstein
hompefch,Hompesch
horfe,horse
horfes,horses
houfe,house
houfes,houses
iafely,safely
idlenefs,idleness
Ifabel,Isabel
Imperialift,Imperialist
impoffible,impossible
impreffion,impression
imprefsion,impression
inconteftable,incontestable
incurfion,incursion
indifcreet,indiscreet
indifpofition,indisposition
indifpose,indispose
indifposed,indisposed
indifposition,indisposition
infcription,inscription
infide,inside
infomuch,insomuch
infpire,inspire
infpired,inspired
Infpruck,inspruck
inftance,instance
inftant,instant
Ingoldfby,Ingoldsby
intereft,interest
interefted,interested
interefting,interesting
interefts,interests
invafion,invasion
inveft,invest
invefted,invested
invefting,investing
inveftiture,investiture
invefts,invests
ioufly,iously
irrefpective,irrespective
jealouf,jealous
Jefuit,jesuit
Jefuitical,jesuitical
